Ad account name,Campaign name,Ad set name,Ad name,Page ID,Post Id,Object Story ID
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - December 2025,Dont Return Lease - Problem Unaware,109798874815594,753451453912598,109798874815594_753451453912598
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Comedian - Solution Aware,109798874815594,752657910658619,109798874815594_752657910658619
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Javuan Ad,109798874815594,732257026032041,109798874815594_732257026032041
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,No Goodbyes Man Static - Lower Payment - Post ID - Copy,109798874815594,651260367465041,109798874815594_651260367465041
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,Reality TV - Solution Aware,109798874815594,746703401254070,109798874815594_746703401254070
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,Morgraph 1 - Solution Aware,109798874815594,752092104048533,109798874815594_752092104048533
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - August 2025,Comedian - Solution Aware,109798874815594,750400074217736,109798874815594_750400074217736
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - July 2025,Comedian - Solution Aware,109798874815594,750400137551063,109798874815594_750400137551063
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - December 2025,3 End-Of-Lease Options - Unaware - Post ID,109798874815594,698416469416097,109798874815594_698416469416097
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - December 2025,Sad Goodbyes - Top Copy,109798874815594,741510428440034,109798874815594_741510428440034
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,Rapper - Solution Aware,109798874815594,746703327920744,109798874815594_746703327920744
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,Game Show - Solution Aware,109798874815594,746703027920774,109798874815594_746703027920774
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,Comedian - Solution Aware,109798874815594,746734871250923,109798874815594_746734871250923
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,Sad Goodbyes - Top Copy,109798874815594,741408491783561,109798874815594_741408491783561
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Brian Mello Ad,109798874815594,742790661645344,109798874815594_742790661645344
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,The Guide - Script 6,109798874815594,737008118890265,109798874815594_737008118890265
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - December 2025,Lease End Customer Testimonial 1 - Unaware - Post ID,109798874815594,615713334353078,109798874815594_615713334353078
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - December 2025,No Goodbyes Man Static - Lower Payment,109798874815594,741510485106695,109798874815594_741510485106695
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - December 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - December 2025,Explore Your Options - Unaware,109798874815594,741478185109925,109798874815594_741478185109925
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - December 2025,Stressful Buyout Carousel - Problem Aware,109798874815594,741478018443275,109798874815594_741478018443275
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - October 2025,No Goodbyes Man Static - Lower Payment,109798874815594,741444595113284,109798874815594_741444595113284
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - October 2025,Lease End Customer Testimonial 1 - Unaware - Post ID,109798874815594,615713334353078,109798874815594_615713334353078
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - November 2025,Sad Goodbyes - Top Copy,109798874815594,741444498446627,109798874815594_741444498446627
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - October 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - October 2025,Sad Goodbyes - Top Copy,109798874815594,741444551779955,109798874815594_741444551779955
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - November 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - November 2025,No Goodbyes Man Static - Lower Payment,109798874815594,741444268446650,109798874815594_741444268446650
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - November 2025,Lease End Customer Testimonial 1 - Unaware - Post ID,109798874815594,615713334353078,109798874815594_615713334353078
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - October 2025,Explore Your Options - Unaware,109798874815594,625379066719838,109798874815594_625379066719838
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - November 2025,Stressful Buyout Carousel - Problem Aware,109798874815594,727686126489131,109798874815594_727686126489131
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - November 2025,Explore Your Options - Unaware,109798874815594,625379066719838,109798874815594_625379066719838
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - October 2025,Stressful Buyout Carousel - Problem Aware,109798874815594,727686126489131,109798874815594_727686126489131
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - September 2025,No Goodbyes Man Static - Lower Payment,109798874815594,741407881783622,109798874815594_741407881783622
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - August 2025,Sad Goodbyes - Top Copy,109798874815594,741408721783538,109798874815594_741408721783538
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,No Goodbyes Man Static - Lower Payment,109798874815594,741408898450187,109798874815594_741408898450187
